turkish,english
bir,one
ve,and
olmak,be
bu,This
için,for
o,he
ben,I
demek,means
çok,lots
yapmak,make
ne,What
gibi,as
daha,more
almak,receive
var,there is
kendi,own
gelmek,come
ile,with
vermek,to give
ama,but
sonra,later
kadar,until
yer,Location
en,most
insan,human
değil,not
her,each
istemek,request
yıl,year
çıkmak,exit
görmek,to see
gün,day
biz,We
gitmek,to go
iş,work
şey,thing
ara,Search
ki,that
bilmek,to know
el,hand
zaman,time
ya,ya
çocuk,child
iki,two
bakmak,look
çalışmak,to work
içinde,in
büyük,large
yok,none
başlamak,to start
yol,path
kalmak,to stay
neden,why
siz,you
konu,Subject
yapılmak,be done
iyi,good
kadın,woman
ev,House
ise,if
diye,saying
bulunmak,have
söylemek,to say
göz,eyelash
gerekmek,require
dünya,Earth
baş,top
durum,situation
yan,side
geçmek,to go past
sen,joyful
onlar,them
yeni,new
önce,before
başka,other
hal,status
orta,middle
su,That
girmek,to enter
ülke,country
yemek,food
hiç,none
bile,even
nasıl,How
bütün,all
karşı,against
bulmak,to find
böyle,like this
yaşamak,to live
düşünmek,think
aynı,same
iç,internal
ancak,However
kişi,person
bunlar,these
veya,or
ilk,first
göre,by
ön,front
son,end
biri,somebody
şekil,shape
önemli,important
yüz,face
hem,both
göstermek,to show
etmek,to do
alt,lower
getirmek,to bring
kullanmak,to use
çünkü,because
taraf,side
şimdi,now
adam,man
onun,her
diğer,other
artık,Now
üzerinde,over
ses,sound
hep,always
doğru,true
durmak,stop
kız,girl
tüm,all
çekmek,to pull
konuşmak,talk
para,money
anlamak,to understand
anne,mom
az,little
bazı,Some
baba,father
hayat,life
sadece,Only
küçük,small
fazla,more
bilgi,information
an,moment
sormak,to ask
bunun,its
öyle,so
yine,still
sağlamak,to ensure
sonuç,conclusion
kullanılmak,be used in
dış,teeth
ad,name
yani,well
süre,duration
dönmek,return
açmak,open
oturmak,to sit
anlatmak,tell
bırakmak,To leave
hemen,now
saat,hour
yaş,age
sorun,problem
devlet,state
sahip,owner
sıra,order
yazmak,to write
yüzde,percent
ay,moon
atmak,to throw
tutmak,keep
bunu,this
olay,event
düşmek,fall
duymak,to listen
söz,promise
güzel,beautiful
sevmek,love
biraz,a little
zor,hard
çıkarmak,eject
şu,That
koymak,put
tek,single
sistem,system
birlikte,together
verilmek,to be given
kim,who
alınmak,to be taken
genç,youth
kapı,door
kitap,book
üzerine,over
burada,here
gece,night
alan,area
birbiri,each other
işte,Request
beklemek,to wait
uzun,long
hiçbir,no
bugün,today
dönem,period
arkadaş,friend
ürün,product
aile,family
üç,three
okumak,to read
erkek,Male
herkes,everyone
güç,strength
belki,maybe
gerçek,real
tam,full
ilgili,relating to
ilişki,relationship
çevre,environment
eski,former
aramak,to search
yaşam,life
halk,people
yakın,near
sokak,Street
bey,gentleman
tarih,Date
özellik,feature
bölüm,section
özel,special
akıl,mind
kimse,nobody
pek,much
eğer,if
gerek,necessary
özellikle,especially
anlam,meaning
yüksek,high school
banka,Bank
kez,times
ayak,foot
taşımak,to carry
geri,back
toplum,society
araç,vehicle
madde,matter
tür,type
karar,decision
görülmek,be seen
hava,weather
sayı,number
farklı,different
grup,group
oda,room
biçim,format
oluşmak,to consist of
haber,news
Allah,God
ayrıca,also
gelen,incoming
birkaç,a few
soru,question
arka,back
kazanmak,to win
yazı,writing
okul,school
açık,open
öğrenmek,learn
sürmek,to spread
dil,language
şirket,company
kaynak,source
bitmek,end up
program,program
devam etmek,continue
hareket,movement
renk,colour
açılmak,open
hak,right
inanmak,believe
çalışma,study
açı,pain
parça,piece
gazete,newspaper
oluşturmak,to create
tabi,subject to
değer,value
tanımak,know
yapı,structure
doktor,doctor
gelir,income
görev,task
amaç,aim
bölge,area
film,film
üzere,abominable
müşteri,customer
zaten,already
telefon,phone
eğitim,education
deniz,sea
ikinci,second
kalkmak,to get up
hatta,mistake
etki,effect
gelişmek,to develop
geçen,last
vücut,body
düşünce,idea
milyon,million
oynamak,play
değişmek,changing
temel,basis
yaratmak,create
ulaşmak,to reach
sanmak,suppose
geçirmek,put in
kültür,culture
kurmak,to create
fakat,but
buna,this
resim,picture
ışık,light
içmek,to drink
hanım,woman
hizmet,service
ihtiyaç,need
nokta,point
yön,direction
evet,Yeah
oyun,the game
artmak,increase
yeniden,again
işlem,process
kısa,short
kolay,easy
hangi,which
oran,ratio
aslında,actually
kabul etmek,to accept
orada,there
dikkat,Caution
uzak,far
bilgisayar,computer
gelecek,the future
görünmek,seem
örneğin,e.g
oğul,son
dinlemek,to listen
uygun,suitable
lira,lira
üretim,production
dakika,minute
unutmak,to forget
yürümek,to walk
böylece,like this
kötü,bad
araba,car
ağız,mouth
duygu,feeling
uygulamak,to apply
hâlâ,still
örnek,sample
birçok,many
izlemek,to watch
derece,degree
mümkün,possible
şöyle,like this
duvar,Wall
on,front
sanat,art
ana,mother
hastalık,disease
öğrenci,student
televizyon,TV
yöntem,method
masa,table
ölmek,to die
takım,set
üst,top
kafa,head
müzik,music
ayrılmak,To leave
enerji,energy
üniversite,University
spor,Sport
türlü,kind of
can,Bell
rağmen,despite
kısım,part
ölüm,death
sürekli,continually
sağlık,health
çeşitli,various
bundan,from this
hissetmek,to feel
oysa,whereas
sabah,morning
internet,Internet
teknik,technical
dışarı,out
merkez,centre
ortam,environment
yerine,in its place
düzey,level
köy,Bay
yönetim,Administration
aşağı,down
cevap,reply
yatmak,to lie down
toprak,soil
isim,name
akşam,evening
araştırma,research
götürmek,take away
katılmak,to join
yoksa,or
kurulmak,set up
ödemek,pay
sanki,as if
kan,blood
hasta,patient
şehir,city
inmek,to get down
sunmak,to present
bilinmek,be known
hafta,week
trafik,traffic
hesap,account
otomobil,car
yabancı,foreign
davranış,behaviour
mutfak,kitchen
kent,city
bazen,sometimes
belli,clear
ayrı,separate
fiyat,price
hakkında,about
kaldırmak,to pick up
kol,arm
yalnız,alone
hazırlamak,to prepare
cam,pine
sonunda,finally
yavaş,slow
gerekli,necessary
önem,importance
koca,husband
yanlış,wrong
varlık,presence
art,article
ilgi,interest
sana,to you
satış,sales
içeri,inside
doğal,natural
sahip olmak,have
ekonomik,economic
acı,aspect
hayır,No
korumak,to protect
kat,floor
ekonomi,economy
genel,general
belirtmek,to indicate
fotoğraf,photograph
hayvan,animal
savaş,war
mal,goods
saç,hair
kaybetmek,to lose
kalan,remainder
değiştirmek,change
dört,four
gerçekten,really
sayfa,page
teknoloji,technology
kurum,organisation
beş,five
sektör,sector
geniş,Large
kağıt,paper
koku,smell
sağ,right
sıcak,hot
yüzyıl,century
cadde,Street
pazar,Sunday
sürdürmek,to continue
kullanım,use
sınıf,class
aşk,love
doğmak,be born
ağır,heavy
tekrar,again
güneş,Sun
sigara,cigaret
ağaç,tree
kelime,word
bina,building
eş,spouse
kaçmak,to escape
parti,party
yatak,bed
yazar,Writer
kulak,ear
öğretmen,teacher
sebep,reason
sol,left
peki,Alright
yağ,oil
yüzden,hundred
anlaşılmak,be understood
varmak,to arrive
gülmek,to laugh
kural,rule
satmak,to sell
şiir,poem
göndermek,to send
başarı,success
firma,company
hükümet,government
kalp,heart
kesmek,to cut
proje,project
şart,condition
hız,speed
köşe,corner
vurmak,hit
model,model
balık,fish
piyasa,market
görüş,opinion
bura,Bura
hazırlanmak,prepare
miktar,amount
birinci,first
meydan,square
ölçü,measurement
seçmek,to choose
uygulanmak,implement
bahçe,garden
sevgi,love
ekmek,bread
boyunca,along
koşmak,to run
dolu,full
kuruluş,establishment
saye,saye
korkmak,to be scared
yardım,help
karşılaşmak,to encounter
malzeme,material
hoş,pleasant
köpek,dog
ünlü,famous
büyümek,grow
dolaşmak,to wander
oldukça,increasingly
üstelik,Besides
yaşanmak,be experienced
beyaz,White
istek,request
öte,beyond
denmek,cherish
kardeş,brother
çekilmek,retreat
nerede,where
çalmak,to play
izin,permission
korku,fear
meslek,profession
polis,police
yalnızca,Only
açıklamak,to explain
fikir,idea
hızlı,fast
pencere,window
uğraşmak,to strive
taş,stone
ateş,fire
fark,difference
yetmek,afford
çoğu,most
kimi,who
koşul,condition
mahalle,neighborhood
mutlaka,definitely
tane,piece
üretmek,to produce
üstüne,over
dayanmak,to resist
ince,thin
kaç,how much
